story_id,evaluator_code,condition,ai_used_actual,ai_guess_percent,pre_novel,pre_original,pre_rare,pre_appropriate,pre_feasible,pre_publishable,pre_tt_enjoyed,pre_tt_badly_written,pre_tt_boring,pre_tt_funny,pre_tt_twist,pre_tt_future
124978c6-f8c9-4d94-829a-fe59c714310b,0zx4uzgc,human_5AI,1.0,80.0,2.0,4.0,3.0,7.0,7.0,3.0,4.0,6.0,7.0,1.0,6.0,1.0
cded67c3-e143-4642-be01-b3258b1fa133,lni5v0k5,human_1AI,1.0,75.0,6.0,6.0,7.0,8.0,7.0,9.0,7.0,3.0,1.0,3.0,1.0,2.0
dabe869d-79d8-4c82-9350-5e4ebd0806c7,h6yd9u8a,human,0.0,0.0,7.0,5.0,3.0,9.0,9.0,7.0,7.0,7.0,3.0,3.0,3.0,1.0
f7376258-d293-44f9-aa07-938361a4e1ee,6gleibvz,human_1AI,0.0,16.0,6.0,7.0,4.0,7.0,7.0,7.0,7.0,7.0,3.0,3.0,3.0,3.0
173c7706-0e61-4620-9a0e-3df8bbfa845c,gs7anie3,human,0.0,79.0,2.0,2.0,2.0,7.0,7.0,5.0,5.0,5.0,5.0,3.0,1.0,6.0
e588666a-a560-466e-8494-aa64a1d06807,20i1coc0,human_1AI,1.0,16.0,2.0,1.0,1.0,6.0,3.0,2.0,6.0,2.0,6.0,8.0,5.0,6.0
1ae992b9-d676-4051-b939-19635ea24c24,a4pyn1if,human_1AI,0.0,25.0,1.0,1.0,1.0,5.0,1.0,3.0,2.0,3.0,8.0,1.0,2.0,1.0
f4837cf6-2112-4a94-a0d4-eb99ebf4e102,oj6yzrsw,human_1AI,0.0,70.0,6.0,7.0,2.0,7.0,7.0,7.0,7.0,7.0,2.0,1.0,7.0,6.0
f19e74b7-e71a-4427-8cc2-37aa7f5d6071,zwif85p2,human_1AI,0.0,77.0,5.0,8.0,1.0,3.0,6.0,2.0,2.0,6.0,8.0,2.0,2.0,2.0
fb4a7a93-0dcb-462d-9b64-92428dc44a45,lloq116c,human,0.0,37.0,3.0,3.0,3.0,6.0,6.0,6.0,5.0,6.0,3.0,3.0,5.0,4.0
01d340cd-bcca-4ef8-bd36-91c2a951b21f,yrhfep3w,human_5AI,1.0,76.0,2.0,5.0,2.0,1.0,1.0,1.0,1.0,1.0,9.0,4.0,7.0,1.0
02bb7805-ba49-420a-be49-5f52f1d4b79e,5f31b64c,human_1AI,1.0,75.0,2.0,5.0,5.0,2.0,2.0,2.0,3.0,7.0,5.0,1.0,3.0,1.0
a2d70f55-973a-4fcf-9649-233064d41830,9acp9gpi,human_5AI,1.0,74.0,2.0,2.0,2.0,5.0,6.0,6.0,3.0,5.0,8.0,1.0,2.0,2.0
a6d79eec-baff-45fd-962e-ffce6f909692,raher31c,human_1AI,0.0,97.0,1.0,1.0,1.0,9.0,1.0,1.0,8.0,7.0,1.0,1.0,2.0,1.0
b154fc7f-cba2-4b7b-84d3-3e910eb07be9,2mfm7i7u,human_1AI,1.0,80.0,3.0,3.0,2.0,3.0,3.0,2.0,3.0,2.0,6.0,1.0,6.0,6.0
7c78f2c1-13b9-4b57-ae49-0bbef1df7a08,ynt1ft7z,human,0.0,66.0,1.0,1.0,1.0,6.0,4.0,3.0,3.0,5.0,6.0,1.0,1.0,1.0
f48acf07-0c7a-464e-b42d-7c477cb24782,xx9b41li,human_1AI,0.0,25.0,4.0,4.0,3.0,6.0,4.0,1.0,5.0,4.0,3.0,1.0,9.0,2.0
b2d37afa-9911-41d6-997f-6d7369f1d6f2,eihpqgxo,human_1AI,1.0,62.0,6.0,6.0,5.0,7.0,6.0,6.0,5.0,6.0,4.0,4.0,5.0,4.0
22988fde-8e34-4df8-ab1e-d1da1057c457,xjmrfimw,human_1AI,1.0,50.0,1.0,1.0,1.0,5.0,4.0,2.0,2.0,3.0,7.0,3.0,1.0,1.0
a610f7e4-a9a3-428d-8f5c-100f37d872e2,2ivtgkyn,human_5AI,1.0,0.0,4.0,4.0,1.0,7.0,7.0,4.0,5.0,5.0,4.0,1.0,1.0,1.0
5e433a7f-d48b-449b-8f30-35e205ee75dc,lrlajkoq,human_5AI,1.0,99.0,5.0,6.0,6.0,8.0,4.0,3.0,3.0,4.0,5.0,2.0,3.0,5.0
