variable,U_stat,p_value,median_no_ai,median_ai,mean_no_ai,mean_ai,n_no_ai,n_ai,cliffs_delta
post_authors_ideas,2337935.5,1.7016955870339233e-145,8.0,5.0,7.051612903225807,5.084967320261438,1860,1683,-0.4937071537640798
post_ownership,2291985.5,1.4925784896916107e-130,8.0,6.0,7.3,5.43731431966726,1860,1683,-0.46434969556411687
post_profit,438966.0,0.0,0.0,58.0,14.674731182795698,58.4640522875817,1860,1683,0.7195445920303605
