story_id,ai_used_actual,evaluator_code,post_authors_ideas,post_ownership,post_profit,post_ai_assist
448d41f3-9b57-44f1-9ac9-c3f608e284ff,1,fx7i38er,6.0,5.0,25,0
8a44f295-4adc-4adc-b7bb-dbffb9d5f90c,1,lm29jouh,6.0,3.0,11,53
487d8021-b059-428a-aa61-0ad8ca8220a8,0,5ovvaoaq,5.0,5.0,73,45
46c14df0-cf51-43e0-aa7f-cb3e70144fdc,1,fq85qgbr,3.0,9.0,100,75
749b1a34-8e70-43fa-bb8b-6fdf0d36ff0e,0,fabv64v7,8.0,8.0,0,50
d9d1d62f-cbfa-473d-884f-e9cda653ce4a,1,55vf7v1q,1.0,1.0,0,100
00ee16f1-5185-4b84-9c29-5907cc9d5fc7,1,7h82mfii,3.0,3.0,43,27
5b7a516e-a054-4a70-a679-25ff3c8b9387,0,jyqhpw08,5.0,7.0,0,75
d0a5d8c4-a5d8-42e4-9e98-657545cec815,0,2bfbja13,8.0,7.0,0,77
3b7cb450-be71-43a3-bf3e-c882572369ec,0,n4uuvpgu,4.0,4.0,0,80
6808d151-dca3-4897-8e05-1c8757b1b671,1,txc44xyk,3.0,3.0,25,75
4e131c0a-d3c7-4c1d-b19b-00eec13972db,1,43dk7ggs,5.0,9.0,50,100
435d391a-704a-433d-9e1f-808d5bdf0efa,0,vxpjyb25,2.0,2.0,0,0
173c7706-0e61-4620-9a0e-3df8bbfa845c,0,25ge2ptz,6.0,8.0,0,85
79ce5a91-c618-458f-8cce-9e32e1689cb1,0,ef0qyppy,7.0,6.0,0,48
eed9ba9d-ab2b-4aab-96bc-782243ff1f06,1,hd3bqzfr,5.0,7.0,80,65
4c7846f7-f65a-482c-8d57-70c1b2a4a7a0,0,ci9ihuay,7.0,9.0,0,20
618dc56e-43c8-43b5-9474-219ab21edbfd,0,vu1xk858,5.0,6.0,75,57
29eba647-475a-48f0-8244-2eee57fbcc0c,0,xpffc1oc,6.0,5.0,75,75
3055442e-4c98-484d-a092-9838823ac08f,0,9ps4ra03,9.0,9.0,0,35
7542a792-567b-4b17-be59-ea2a797b9ce0,1,amkhybhm,4.0,4.0,47,25
4e07145a-a82a-43f3-a848-39819e97dd62,1,zhvkumrz,7.0,8.0,66,9
b94fdf1d-bcd3-4526-831f-7f0fc56b86b7,1,7b54q8k9,7.0,7.0,18,9
0958da06-33d6-4f3b-851b-fa9fddffde82,1,1l7d1yuw,5.0,3.0,31,99
fc178c9a-f8b7-4c81-85f6-1e12b56d60bc,0,7rqndgt8,3.0,2.0,0,74
92aeebce-c4f4-4c12-bcfe-787e838884ea,0,xqijd49s,7.0,2.0,20,49
02bb7805-ba49-420a-be49-5f52f1d4b79e,1,ujcp48xz,3.0,4.0,64,61
18693e2d-f85c-47f7-be15-b056183f0b66,0,r369t035,6.0,4.0,45,52
99ef06e6-7930-4121-918d-b64c0dc4e885,1,2cdo0y1w,1.0,1.0,36,87
0a8643ac-6490-4c68-8b49-f059f3dea152,0,npwfhvwf,5.0,9.0,0,50
041b6010-3f4a-4658-a428-5ebfdcce67b1,1,lgxwuwqq,2.0,5.0,100,69
8cd2199c-6ae5-432f-a53e-791f137d81af,0,wwnfpa3i,8.0,9.0,0,34
f19e74b7-e71a-4427-8cc2-37aa7f5d6071,0,3sk9ox8z,8.0,9.0,0,18
776ba85a-7ec6-40ca-aff0-d2d7627919ec,0,m4cqnxwl,9.0,9.0,100,25
def36bf5-fb15-4a80-845e-21f8d7f966c9,1,f168j9u9,7.0,8.0,90,27
8a44f295-4adc-4adc-b7bb-dbffb9d5f90c,1,srf3rh5g,6.0,6.0,75,70
8ec6743a-6ab5-4b6b-9c29-b57830dab1a6,0,rsnop8c5,9.0,9.0,0,100
863d7eaf-eb05-4d14-8804-6123d8c04d86,0,qm00f4rw,4.0,6.0,0,37
a610f7e4-a9a3-428d-8f5c-100f37d872e2,1,p95gze3r,3.0,3.0,50,38
999b17bd-a73b-4459-849b-c8dbd3e6a675,0,qfwodf79,7.0,7.0,0,53
36d90373-ec55-4305-996f-5ab6bebec191,1,vwllgztz,6.0,7.0,90,15
79e28a95-7e95-4bb2-85d2-25325aa5ff88,0,itjyz3lm,9.0,9.0,0,75
682e286d-0a42-40d8-9595-4d2fe45ad3f2,1,egyh8u7m,5.0,5.0,75,41
f56b29de-e725-4250-bd56-550ee975ec89,0,ouwda0np,6.0,5.0,80,20
d0a5d8c4-a5d8-42e4-9e98-657545cec815,0,hajaudn5,9.0,9.0,0,0
c0002a1c-09c6-4939-8524-acc0671b187b,1,i98sk12w,3.0,3.0,50,45
6de29543-7e86-4aee-b61e-3bbdf75cfacd,0,l0su5uvh,7.0,8.0,0,50
6808d151-dca3-4897-8e05-1c8757b1b671,1,epp33i0v,6.0,6.0,64,67
b1a7866e-3258-419c-89f3-00cc260b53c5,0,y547hztq,9.0,9.0,0,7
f3a6d784-763f-41fb-b889-11f2bcba72d7,0,dw2dmllj,9.0,9.0,0,82
d485db37-7c80-485a-a99a-a6cbcaa8e5b5,1,g2v56yge,2.0,2.0,9,58
f509c7eb-889d-4726-86e2-1a074399cdc0,1,0sh17m41,3.0,3.0,49,50
3055442e-4c98-484d-a092-9838823ac08f,0,qwkohrpb,7.0,7.0,0,65
56908d7b-bb73-427c-a43d-618ff038e1f3,0,zi7nnn89,1.0,6.0,70,70
f48acf07-0c7a-464e-b42d-7c477cb24782,0,9a0kku5u,8.0,8.0,100,0
f3eadea7-021d-469b-8eef-0508ccc852c2,1,0zh7emrd,4.0,4.0,25,75
37f088e5-ab58-4234-bdd3-e77835d3504b,1,k83yfsd1,2.0,5.0,50,52
124978c6-f8c9-4d94-829a-fe59c714310b,1,r0nvf21k,6.0,7.0,54,58
28e46f82-e84e-47fd-8d5a-3037d19a7f36,1,zk0enfhg,4.0,8.0,100,90
cb260fad-db5b-4730-960c-020aa4fd43c5,0,cp2m4tgg,6.0,6.0,0,8
e8a698ff-7fba-4cd9-987f-273c3abe7fba,0,rukcpe77,7.0,8.0,0,25
79ce5a91-c618-458f-8cce-9e32e1689cb1,0,27szennb,8.0,8.0,0,25
1cf347a7-0df2-4ccd-a041-2d19d62fd7e2,0,1eoxm04m,8.0,8.0,0,50
7298782e-7bac-4a4a-b322-d4832c0cf6a2,0,skrodzah,6.0,1.0,50,25
f2d658e2-90c4-4942-813d-f4c063b84c93,0,senriny0,8.0,9.0,0,75
1bd16c85-78a6-4905-a0b8-23baa64e70bd,1,ps2dbopg,6.0,6.0,75,75
e29b0a28-2897-450e-b920-fcd41084a12a,1,c9hgm5tm,4.0,3.0,49,74
34bf225b-43e6-4cfb-8844-d52419dc4906,1,9wwe64ny,8.0,8.0,100,10
b202956d-95f3-46da-8ce7-478d6ad45201,0,83jiq9nt,6.0,9.0,0,80
4bf14b3e-f54f-412f-91f0-e218adf085dc,1,yy17vkxx,4.0,3.0,51,34
2d6ece38-3984-441a-88dc-c31f16d8567b,1,4eqljd7x,9.0,8.0,66,90
2daeadf6-9297-40da-941c-b25177a96b8a,1,mm79tn84,4.0,6.0,90,0
